2fP I Netzwerke: TCP/IP;22/08/2025
2fP I Netzwerke: Beobachtung von Netzwerkverbindungen;27/08/2025
2fP I Netzwerke: Anwendungsübung;29/08/2025
2fP I Kryptologie: Caesar;05/09/2025
2fP I Kryptologie: Vigenère Chiffre;12/09/2025
2fP I Kryptologie: Vigenère Brechen;19/09/2025
2fP I Test;26/09/2025
2fP I Kryptologie: Public Key Kryptographie (Graphengestützt);24/10/2025
2fP I Kryptologie: RSA;31/10/2025
2fP I Kryptologie: digitale Signaturen;07/11/2025
2fP I KI: Versuch einer Definition;14/11/2025
2fP I KI;21/11/2025
2fP I KI;28/11/2025
2fP I Test;05/12/2025
2fP I KI;12/12/2025
2fP I KI;19/12/2025
2fP I KI;09/01/2026